Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
,,,,,,
C1,0402-CAP,-1.00mm,-1.00mm,T,-90,0.1u
C2,0402-CAP,-3.22mm,-5.60mm,T,-90,0.1u
C3,0402-CAP,4.24mm,-8.94mm,T,-90,0.1u
C4,0402-CAP,203.15mm,-15.13mm,T,-90,0.1u
C15,0402,3.76mm,23.29mm,T,270,0.1u
C16,0402,-1.16mm,15.67mm,T,180,0.1u
C17,0402,4.56mm,12.97mm,T,180,0.1u
C18,0402,0.27mm,4.56mm,T,270,0.1u
C19,0402,3.45mm,3.92mm,T,180,47n
C20,0402,-1.16mm,14.40mm,T,180,47n
C26,0402,130.76mm,23.29mm,T,270,0.1u
C27,0402,125.84mm,15.67mm,T,180,0.1u
C28,0402,131.56mm,12.97mm,T,180,0.1u
C29,0402,127.27mm,4.56mm,T,270,0.1u
C30,0402,130.44mm,3.92mm,T,180,47n
C31,0402,125.84mm,14.40mm,T,180,47n
C37,0402,16.46mm,23.29mm,T,270,0.1u
C38,0402,11.54mm,15.67mm,T,180,0.1u
C39,0402,17.26mm,12.97mm,T,180,0.1u
C40,0402,12.97mm,4.56mm,T,270,0.1u
C41,0402,16.14mm,3.92mm,T,180,47n
C42,0402,11.54mm,14.40mm,T,180,47n
C59,0402,29.16mm,23.29mm,T,270,0.1u
C60,0402,24.24mm,15.67mm,T,180,0.1u
C61,0402,29.96mm,12.97mm,T,180,0.1u
C62,0402,25.67mm,4.56mm,T,270,0.1u
C63,0402,28.85mm,3.92mm,T,180,47n
C64,0402,24.24mm,14.40mm,T,180,47n
C70,0402,143.46mm,23.29mm,T,270,0.1u
C71,0402,138.54mm,15.67mm,T,180,0.1u
C72,0402,144.26mm,12.97mm,T,180,0.1u
C73,0402,139.97mm,4.56mm,T,270,0.1u
C74,0402,143.15mm,3.92mm,T,180,47n
C75,0402,138.54mm,14.40mm,T,180,47n
C81,0402,41.86mm,23.29mm,T,270,0.1u
C82,0402,36.94mm,15.67mm,T,180,0.1u
C83,0402,42.66mm,12.97mm,T,180,0.1u
C84,0402,38.37mm,4.56mm,T,270,0.1u
C85,0402,41.55mm,3.92mm,T,180,47n
C86,0402,36.94mm,14.40mm,T,180,47n
C92,0402,168.86mm,23.29mm,T,270,0.1u
C93,0402,163.94mm,15.67mm,T,180,0.1u
C94,0402,169.66mm,12.97mm,T,180,0.1u
C95,0402,165.37mm,4.56mm,T,270,0.1u
C96,0402,168.55mm,3.92mm,T,180,47n
C97,0402,163.94mm,14.40mm,T,180,47n
C103,0402,54.56mm,23.29mm,T,270,0.1u
C104,0402,49.64mm,15.67mm,T,180,0.1u
C105,0402,55.36mm,12.97mm,T,180,0.1u
C106,0402,51.07mm,4.56mm,T,270,0.1u
C107,0402,54.25mm,3.92mm,T,180,47n
C108,0402,49.64mm,14.40mm,T,180,47n
C114,0402,156.16mm,23.29mm,T,270,0.1u
C115,0402,151.24mm,15.67mm,T,180,0.1u
C116,0402,156.96mm,12.97mm,T,180,0.1u
C117,0402,152.67mm,4.56mm,T,270,0.1u
C118,0402,155.85mm,3.92mm,T,180,47n
C119,0402,151.24mm,14.40mm,T,180,47n
C125,0402,67.26mm,23.29mm,T,270,0.1u
C126,0402,62.34mm,15.67mm,T,180,0.1u
C127,0402,68.06mm,12.97mm,T,180,0.1u
C128,0402,63.77mm,4.56mm,T,270,0.1u
C129,0402,66.95mm,3.92mm,T,180,47n
C130,0402,62.34mm,14.40mm,T,180,47n
C147,0402,79.96mm,23.29mm,T,270,0.1u
C148,0402,75.04mm,15.67mm,T,180,0.1u
C149,0402,80.76mm,12.97mm,T,180,0.1u
C150,0402,76.47mm,4.56mm,T,270,0.1u
C151,0402,79.64mm,3.92mm,T,180,47n
C152,0402,75.04mm,14.40mm,T,180,47n
C158,0402,181.56mm,23.29mm,T,270,0.1u
C159,0402,176.64mm,15.67mm,T,180,0.1u
C160,0402,182.36mm,12.97mm,T,180,0.1u
C161,0805,89.33mm,-19.57mm,T,180,10u
C166,0805,89.33mm,-17.83mm,T,180,10u
C167,0805,89.33mm,-14.18mm,T,180,10u
C178,0402-CAP,133.14mm,-65.77mm,T,180,0.1u
C179,0402-CAP,133.14mm,-67.20mm,T,180,0.1u
C180,0402-CAP,133.14mm,-62.12mm,T,180,0.1u
C182,0402-CAP,133.14mm,-63.55mm,T,180,0.1u
C183,0805,138.06mm,-5.76mm,T,180,10u
C184,0805,138.06mm,-9.25mm,T,360,10u
C185,0805,130.76mm,-6.08mm,T,360,10u
C186,0805,130.44mm,-10.68mm,T,180,10u
C187,0402-CAP,130.60mm,-4.65mm,T,360,0.1u
C188,0402-CAP,138.38mm,-4.33mm,T,180,0.1u
C189,0402-CAP,137.75mm,-10.68mm,T,360,0.1u
C190,0402-CAP,134.57mm,-6.24mm,T,270,1u
C191,0402-CAP,135.84mm,-6.24mm,T,-90,0.1u
C192,0402-CAP,130.13mm,-11.95mm,T,180,0.1u
C194,0805,137.27mm,-12.11mm,T,360,10u
C195,0805,125.05mm,-13.38mm,T,180,10u
C196,0402-CAP,139.97mm,-14.65mm,T,270,0.1u
C197,0402-CAP,125.36mm,-14.81mm,T,180,0.1u
C225,0402-CAP,151.72mm,-42.43mm,T,-90,0.1u
C238,LLL31,28.10mm,-92.66mm,T,180,CAPACITOR
C239,LLL31,17.95mm,-92.58mm,T,180,CAPACITOR
C252,0805,58.69mm,-12.11mm,T,360,10u
C253,0805,46.31mm,-13.38mm,T,180,10u
C254,0402-CAP,60.91mm,-14.65mm,T,270,0.1u
