Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment,Group,Function
,,,,,,,,
C1,402,78.30mm,20.07mm,B,-90,47n,1,
C2,402,67.82mm,15.46mm,B,-90,47n,1,
C3,402,66.55mm,15.46mm,B,-90,0.1u,1,
C4,402,58.93mm,20.38mm,B,0,0.1u,1,
C5,402,77.66mm,16.89mm,B,0,0.1u,1,
C6,402,69.25mm,21.18mm,B,-90,0.1u,1,
C12,402,78.30mm,32.77mm,B,-90,47n,2,
C13,402,67.82mm,28.16mm,B,-90,47n,2,
C14,402,66.55mm,28.16mm,B,-90,0.1u,2,
C15,402,58.93mm,33.08mm,B,0,0.1u,2,
C16,402,77.66mm,29.59mm,B,0,0.1u,2,
C17,402,69.25mm,33.88mm,B,-90,0.1u,2,
C23,402,78.30mm,45.47mm,B,-90,47n,3,
C24,402,67.82mm,40.86mm,B,-90,47n,3,
C25,402,66.55mm,40.86mm,B,-90,0.1u,3,
C26,402,58.93mm,45.78mm,B,0,0.1u,3,
C27,402,77.66mm,42.29mm,B,0,0.1u,3,
C28,402,69.25mm,46.58mm,B,-90,0.1u,3,
C34,402,78.30mm,58.17mm,B,-90,47n,4,
C35,402,67.82mm,53.56mm,B,-90,47n,4,
C36,402,66.55mm,53.56mm,B,-90,0.1u,4,
C37,402,58.93mm,58.48mm,B,0,0.1u,4,
C38,402,77.66mm,54.99mm,B,0,0.1u,4,
C39,402,69.25mm,59.28mm,B,-90,0.1u,4,
C45,402,78.30mm,70.87mm,B,-90,47n,5,
C46,402,67.82mm,66.26mm,B,-90,47n,5,
C47,402,66.55mm,66.26mm,B,-90,0.1u,5,
C48,402,58.93mm,71.18mm,B,0,0.1u,5,
C49,402,77.66mm,67.69mm,B,0,0.1u,5,
C50,402,69.25mm,71.98mm,B,-90,0.1u,5,
C56,402,78.30mm,83.56mm,B,-90,47n,6,
C57,402,67.82mm,78.96mm,B,-90,47n,6,
C58,402,66.55mm,78.96mm,B,-90,0.1u,6,
C59,402,58.93mm,83.88mm,B,0,0.1u,6,
C60,402,77.66mm,80.39mm,B,0,0.1u,6,
C61,402,69.25mm,84.68mm,B,-90,0.1u,6,
C67,402,78.30mm,96.27mm,B,-90,47n,7,
C68,402,67.82mm,91.66mm,B,-90,47n,7,
C69,402,66.55mm,91.66mm,B,-90,0.1u,7,
C70,402,58.93mm,96.58mm,B,0,0.1u,7,
C71,402,77.66mm,93.09mm,B,0,0.1u,7,
C72,402,69.25mm,97.38mm,B,-90,0.1u,7,
C78,402,78.30mm,108.97mm,B,-90,47n,8,
C79,402,67.82mm,104.36mm,B,-90,47n,8,
C80,402,66.55mm,104.36mm,B,-90,0.1u,8,
C81,402,58.93mm,109.28mm,B,0,0.1u,8,
C82,402,77.66mm,105.79mm,B,0,0.1u,8,
C83,402,69.25mm,110.08mm,B,-90,0.1u,8,
C89,402,78.30mm,121.67mm,B,-90,47n,9,
C90,402,67.82mm,117.06mm,B,-90,47n,9,
C91,402,66.55mm,117.06mm,B,-90,0.1u,9,
C92,402,58.93mm,121.98mm,B,0,0.1u,9,
C93,402,77.66mm,118.49mm,B,0,0.1u,9,
C94,402,69.25mm,122.78mm,B,-90,0.1u,9,
C100,402,78.30mm,134.37mm,B,-90,47n,10,
C101,402,67.82mm,129.76mm,B,-90,47n,10,
C102,402,66.55mm,129.76mm,B,-90,0.1u,10,
C103,402,58.93mm,134.68mm,B,0,0.1u,10,
C104,402,77.66mm,131.19mm,B,0,0.1u,10,
C105,402,69.25mm,135.48mm,B,-90,0.1u,10,
C111,402,78.30mm,147.06mm,B,-90,47n,11,
C112,402,67.82mm,142.46mm,B,-90,47n,11,
C113,402,66.55mm,142.46mm,B,-90,0.1u,11,
C114,402,58.93mm,147.38mm,B,0,0.1u,11,
C115,402,77.66mm,143.89mm,B,0,0.1u,11,
C116,402,69.25mm,148.18mm,B,-90,0.1u,11,
C122,402,78.30mm,159.77mm,B,-90,47n,12,
C123,402,67.82mm,155.16mm,B,-90,47n,12,
C124,402,66.55mm,155.16mm,B,-90,0.1u,12,
C125,402,58.93mm,160.08mm,B,0,0.1u,12,
C126,402,77.66mm,156.59mm,B,0,0.1u,12,
C127,402,69.25mm,160.88mm,B,-90,0.1u,12,
C133,402,78.30mm,172.47mm,B,-90,47n,13,
C134,402,67.82mm,167.86mm,B,-90,47n,13,
C135,402,66.55mm,167.86mm,B,-90,0.1u,13,
C136,402,58.93mm,172.78mm,B,0,0.1u,13,
C137,402,77.66mm,169.29mm,B,0,0.1u,13,
C138,402,69.25mm,173.58mm,B,-90,0.1u,13,
C144,402,78.30mm,185.17mm,B,-90,47n,14,
C145,402,67.82mm,180.56mm,B,-90,47n,14,
C146,402,66.55mm,180.56mm,B,-90,0.1u,14,
C147,402,58.93mm,185.48mm,B,0,0.1u,14,
C148,402,77.66mm,181.99mm,B,0,0.1u,14,
C149,402,69.25mm,186.28mm,B,-90,0.1u,14,
C155,402,78.30mm,197.87mm,B,-90,47n,15,
C156,402,67.82mm,193.26mm,B,-90,47n,15,
C157,402,66.55mm,193.26mm,B,-90,0.1u,15,
C158,402,58.93mm,198.18mm,B,0,0.1u,15,
C159,402,77.66mm,194.69mm,B,0,0.1u,15,
C160,402,69.25mm,198.98mm,B,-90,0.1u,15,
C166,402,78.30mm,210.56mm,B,-90,47n,16,
C167,402,67.82mm,205.96mm,B,-90,47n,16,
C168,402,66.55mm,205.96mm,B,-90,0.1u,16,
C169,402,58.93mm,210.88mm,B,0,0.1u,16,
C170,402,77.66mm,207.39mm,B,0,0.1u,16,
C171,402,69.25mm,211.68mm,B,-90,0.1u,16,
