Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment,Group,Function
,,,,,,,,
C1,402,-1.00mm,-1.00mm,T,-90,47n,1,
C2,402,-11.48mm,-5.60mm,T,-90,47n,1,
C3,402,-12.75mm,-5.60mm,T,-90,0.1u,1,
C4,402,-20.37mm,-0.68mm,T,0,0.1u,1,
C5,402,-1.63mm,-4.18mm,T,0,0.1u,1,
C6,402,-10.05mm,0.11mm,T,-90,0.1u,1,
C12,402,-1.00mm,11.70mm,T,-90,47n,2,
C13,402,-11.48mm,7.10mm,T,-90,47n,2,
C14,402,-12.75mm,7.10mm,T,-90,0.1u,2,
C15,402,-20.37mm,12.02mm,T,0,0.1u,2,
C16,402,-1.63mm,8.52mm,T,0,0.1u,2,
C17,402,-10.05mm,12.81mm,T,-90,0.1u,2,
C23,402,-1.00mm,24.40mm,T,-90,47n,3,
C24,402,-11.48mm,19.80mm,T,-90,47n,3,
C25,402,-12.75mm,19.80mm,T,-90,0.1u,3,
C26,402,-20.37mm,24.72mm,T,0,0.1u,3,
C27,402,-1.63mm,21.22mm,T,0,0.1u,3,
C28,402,-10.05mm,25.51mm,T,-90,0.1u,3,
C34,402,-1.00mm,37.10mm,T,-90,47n,4,
C35,402,-11.48mm,32.50mm,T,-90,47n,4,
C36,402,-12.75mm,32.50mm,T,-90,0.1u,4,
C37,402,-20.37mm,37.42mm,T,0,0.1u,4,
C38,402,-1.63mm,33.92mm,T,0,0.1u,4,
C39,402,-10.05mm,38.21mm,T,-90,0.1u,4,
C45,402,-1.00mm,49.80mm,T,-90,47n,5,
C46,402,-11.48mm,45.20mm,T,-90,47n,5,
C47,402,-12.75mm,45.20mm,T,-90,0.1u,5,
C48,402,-20.37mm,50.12mm,T,0,0.1u,5,
C49,402,-1.63mm,46.62mm,T,0,0.1u,5,
C50,402,-10.05mm,50.91mm,T,-90,0.1u,5,
C56,402,-1.00mm,62.50mm,T,-90,47n,6,
C57,402,-11.48mm,57.90mm,T,-90,47n,6,
C58,402,-12.75mm,57.90mm,T,-90,0.1u,6,
C59,402,-20.37mm,62.82mm,T,0,0.1u,6,
C60,402,-1.63mm,59.33mm,T,0,0.1u,6,
C61,402,-10.05mm,63.61mm,T,-90,0.1u,6,
C67,402,-1.00mm,75.20mm,T,-90,47n,7,
C68,402,-11.48mm,70.60mm,T,-90,47n,7,
C69,402,-12.75mm,70.60mm,T,-90,0.1u,7,
C70,402,-20.37mm,75.52mm,T,0,0.1u,7,
C71,402,-1.63mm,72.03mm,T,0,0.1u,7,
C72,402,-10.05mm,76.31mm,T,-90,0.1u,7,
C78,402,-1.00mm,87.90mm,T,-90,47n,8,
C79,402,-11.48mm,83.30mm,T,-90,47n,8,
C80,402,-12.75mm,83.30mm,T,-90,0.1u,8,
C81,402,-20.37mm,88.22mm,T,0,0.1u,8,
C82,402,-1.63mm,84.73mm,T,0,0.1u,8,
C83,402,-10.05mm,89.01mm,T,-90,0.1u,8,
C89,402,-1.00mm,100.60mm,T,-90,47n,9,
C90,402,-11.48mm,96.00mm,T,-90,47n,9,
C91,402,-12.75mm,96.00mm,T,-90,0.1u,9,
C92,402,-20.37mm,100.92mm,T,0,0.1u,9,
C93,402,-1.63mm,97.43mm,T,0,0.1u,9,
C94,402,-10.05mm,101.71mm,T,-90,0.1u,9,
C100,402,-1.00mm,113.30mm,T,-90,47n,10,
C101,402,-11.48mm,108.70mm,T,-90,47n,10,
C102,402,-12.75mm,108.70mm,T,-90,0.1u,10,
C103,402,-20.37mm,113.62mm,T,0,0.1u,10,
C104,402,-1.63mm,110.12mm,T,0,0.1u,10,
C105,402,-10.05mm,114.41mm,T,-90,0.1u,10,
C111,402,-1.00mm,126.00mm,T,-90,47n,11,
C112,402,-11.48mm,121.40mm,T,-90,47n,11,
C113,402,-12.75mm,121.40mm,T,-90,0.1u,11,
C114,402,-20.37mm,126.32mm,T,0,0.1u,11,
C115,402,-1.63mm,122.83mm,T,0,0.1u,11,
C116,402,-10.05mm,127.11mm,T,-90,0.1u,11,
C122,402,-1.00mm,138.70mm,T,-90,47n,12,
C123,402,-11.48mm,134.10mm,T,-90,47n,12,
C124,402,-12.75mm,134.10mm,T,-90,0.1u,12,
C125,402,-20.37mm,139.02mm,T,0,0.1u,12,
C126,402,-1.63mm,135.53mm,T,0,0.1u,12,
C127,402,-10.05mm,139.81mm,T,-90,0.1u,12,
C133,402,-1.00mm,151.40mm,T,-90,47n,13,
C134,402,-11.48mm,146.80mm,T,-90,47n,13,
C135,402,-12.75mm,146.80mm,T,-90,0.1u,13,
C136,402,-20.37mm,151.72mm,T,0,0.1u,13,
