Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
,,,,,,
C7,0603-CAP,-1.00mm,-1.00mm,T,-90,0.1u
C8,0402-CAP,2.81mm,-5.29mm,T,180,0.1u
C9,0402-CAP,9.80mm,0.27mm,T,-90,0.1u
C10,0402-CAP,-0.84mm,2.49mm,T,180,0.1u
C11,0402,-2.90mm,0.27mm,T,-90,0.1u
C18,0603-CAP,-1.00mm,11.70mm,T,-90,0.1u
C19,0402-CAP,2.81mm,7.41mm,T,180,0.1u
C20,0402-CAP,9.80mm,12.97mm,T,-90,0.1u
C21,0402-CAP,-0.84mm,15.19mm,T,180,0.1u
C22,0402,-2.90mm,12.97mm,T,-90,0.1u
C29,0603-CAP,-1.00mm,24.40mm,T,-90,0.1u
C30,0402-CAP,2.81mm,20.11mm,T,180,0.1u
C31,0402-CAP,9.80mm,25.67mm,T,-90,0.1u
C32,0402-CAP,-0.84mm,27.89mm,T,180,0.1u
C33,0402,-2.90mm,25.67mm,T,-90,0.1u
C40,0603-CAP,-1.00mm,37.10mm,T,-90,0.1u
C41,0402-CAP,2.81mm,32.81mm,T,180,0.1u
C42,0402-CAP,9.80mm,38.37mm,T,-90,0.1u
C43,0402-CAP,-0.84mm,40.59mm,T,180,0.1u
C44,0402,-2.90mm,38.37mm,T,-90,0.1u
C51,0603-CAP,-1.00mm,49.80mm,T,-90,0.1u
C52,0402-CAP,2.81mm,45.51mm,T,180,0.1u
C53,0402-CAP,9.80mm,51.07mm,T,-90,0.1u
C54,0402-CAP,-0.84mm,53.29mm,T,180,0.1u
C55,0402,-2.90mm,51.07mm,T,-90,0.1u
C62,0603-CAP,-1.00mm,62.50mm,T,-90,0.1u
C63,0402-CAP,2.81mm,58.21mm,T,180,0.1u
C64,0402-CAP,9.80mm,63.77mm,T,-90,0.1u
C65,0402-CAP,-0.84mm,65.99mm,T,180,0.1u
C66,0402,-2.90mm,63.77mm,T,-90,0.1u
C73,0603-CAP,-1.00mm,75.20mm,T,-90,0.1u
C74,0402-CAP,2.81mm,70.91mm,T,180,0.1u
C75,0402-CAP,9.80mm,76.47mm,T,-90,0.1u
C76,0402-CAP,-0.84mm,78.69mm,T,180,0.1u
C77,0402,-2.90mm,76.47mm,T,-90,0.1u
C84,0603-CAP,-1.00mm,87.90mm,T,-90,0.1u
C85,0402-CAP,2.81mm,83.61mm,T,180,0.1u
C86,0402-CAP,9.80mm,89.17mm,T,-90,0.1u
C87,0402-CAP,-0.84mm,91.39mm,T,180,0.1u
C88,0402,-2.90mm,89.17mm,T,-90,0.1u
C95,0603-CAP,-1.00mm,100.60mm,T,-90,0.1u
C96,0402-CAP,2.81mm,96.31mm,T,180,0.1u
C97,0402-CAP,9.80mm,101.87mm,T,-90,0.1u
C98,0402-CAP,-0.84mm,104.09mm,T,180,0.1u
C99,0402,-2.90mm,101.87mm,T,-90,0.1u
C106,0603-CAP,-1.00mm,113.30mm,T,-90,0.1u
C107,0402-CAP,2.81mm,109.01mm,T,180,0.1u
